text,category
Built 3 new anganwadi centres in ward 4,Infrastructure
Completed construction of 2-lane flyover on Outer Ring Road,Infrastructure
Laid 5km of new road connecting Kanakapura villages,Infrastructure
Inaugurated underground drainage system in Rajarajeshwari Nagar,Infrastructure
Sanctioned Rs 50 crore for Bangalore metro phase 3 extension,Infrastructure
Constructed new bus terminal in Tumkur district headquarters,Infrastructure
Built pedestrian skywalk near Majestic bus stand,Infrastructure
Completed storm water drain network in Bommanahalli zone,Infrastructure
Inaugurated drinking water pipeline project in Anekal taluk,Infrastructure
Laid foundation stone for new railway overbridge in Mysuru Road,Infrastructure
Inaugurated 200-bed government hospital in Yelahanka,Healthcare
Launched free dialysis centre at district hospital Mandya,Healthcare
Distributed 5000 free health insurance cards under Arogya Karnataka,Healthcare
Set up mobile health clinic covering 30 villages in Chamrajnagar,Healthcare
Opened new primary health centre in Hoskote taluk,Healthcare
Sanctioned Rs 10 crore for upgrading taluk hospital in Ramanagara,Healthcare
Inaugurated blood bank facility at Jayanagar General Hospital,Healthcare
Launched telemedicine service connecting rural PHCs to NIMHANS,Healthcare
Distributed free medicines worth Rs 2 crore to BPL families,Healthcare
Organised mega health camp benefiting 3000 residents in Hubli,Healthcare
Opened new government degree college in Chikkaballapur,Education
Distributed 10000 free textbooks to government school students,Education
Inaugurated smart classroom project in 25 schools across Dharwad,Education
Sanctioned construction of new Kendriya Vidyalaya in Whitefield,Education
Launched scholarship scheme for 500 SC/ST students in Belgaum,Education
Built new library and computer lab at government PU college Shimoga,Education
Provided free tablets to 2000 students under Vidya Siri scheme,Education
Inaugurated skill training centre at ITI campus in Davangere,Education
Upgraded 15 primary schools with new buildings in Kolar district,Education
Started midday meal kitchen serving 8000 students in Gulbarga,Education
Launched Stree Shakti self-help group programme in Mysuru district,Women_Empowerment
Distributed sewing machines to 500 women under Udyogini scheme,Women_Empowerment
Inaugurated women's hostel for working professionals in Bangalore,Women_Empowerment
Sanctioned Rs 5 crore for Bhagya Lakshmi scheme in Bidar,Women_Empowerment
Set up 10 new Sakhi centres for domestic violence support,Women_Empowerment
Launched free bus pass scheme for women commuters in BMTC,Women_Empowerment
Organised entrepreneurship training for 300 rural women in Hassan,Women_Empowerment
Distributed Rs 2000 monthly aid to 1000 single mothers in Bellary,Women_Empowerment
Inaugurated all-women police station in Mangalore,Women_Empowerment
Provided microfinance loans to 200 women SHGs in Chitradurga,Women_Empowerment
Distributed subsidised seeds and fertilisers to 2000 farmers in Haveri,Agriculture
Launched drip irrigation scheme covering 500 acres in Bagalkot,Agriculture
Sanctioned Rs 8 crore for farm pond construction in Raichur,Agriculture
Set up cold storage facility for horticulture produce in Kolar,Agriculture
Inaugurated farmer training centre in Mandya agricultural university,Agriculture
Distributed crop insurance compensation to 3000 drought-hit farmers,Agriculture
Launched soil testing mobile van service across Koppal district,Agriculture
Provided free borewells to 150 small farmers in Gadag,Agriculture
Organised millet farming awareness programme in Tumkur,Agriculture
Sanctioned market yard upgradation in Hubli-Dharwad APMC,Agriculture
Launched youth skill development centre in Peenya industrial area,Youth
Distributed free competitive exam coaching to 500 graduates in Mysuru,Youth
Inaugurated sports complex with gym and swimming pool in Belgaum,Youth
Sanctioned Rs 3 crore for startup incubation hub in Bangalore,Youth
Organised job fair connecting 2000 youth with IT companies,Youth
Launched two-wheeler loan subsidy scheme for unemployed graduates,Youth
Set up coding bootcamp for rural youth in Chitradurga,Youth
Provided financial aid to 300 youth for overseas education in Mangalore,Youth
Inaugurated youth recreation centre with library in Davangere,Youth
Launched apprenticeship tie-up with 50 industries for diploma holders,Youth
